"CTYNAME","pop2021","GrowthRate","popDensity"
"Kings County","2523560","0.5470","2380.2084"
"Queens County","2212360","-0.9997","2086.6862"
"New York County","1628010","2.4698","1535.5304"
"Suffolk County","1468140","-1.7533","1384.7418"
"Bronx County","1390450","0.2271","1311.4650"
"Nassau County","1355700","1.0457","1278.6890"
"Westchester County","966092","1.6296","911.2128"
"Erie County","916672","-0.2698","864.6002"
"Monroe County","739582","-0.6713","697.5698"
"Richmond County","475909","1.3402","448.8748"
"Onondaga County","458286","-1.9778","432.2529"
"Orange County","390568","4.5851","368.3817"
"Rockland County","326323","4.4237","307.7861"
"Albany County","303348","-0.2427","286.1162"
"Dutchess County","294776","-0.9915","278.0312"
"Saratoga County","229249","4.1525","216.2264"
"Oneida County","227065","-3.2762","214.1665"
"Niagara County","207723","-4.0430","195.9232"
"Broome County","187614","-6.4181","176.9565"
"Ulster County","175883","-3.5824","165.8919"
"Rensselaer County","157576","-1.1071","148.6248"
"Schenectady County","155739","0.5670","146.8922"
"Chautauqua County","125765","-6.6506","118.6209"
"Oswego County","116342","-4.7447","109.7332"
"Ontario County","109855","1.5521","103.6147"
"St. Lawrence County","106566","-4.6918","100.5125"
"Jefferson County","105770","-9.2819","99.7617"
"Tompkins County","101702","-0.0374","95.9248"
"Putnam County","97332","-2.3428","91.8030"
"Steuben County","94417","-4.6341","89.0536"
"Wayne County","89354","-4.6901","84.2782"
"Chemung County","82498","-7.1961","77.8117"
"Clinton County","80097","-2.4350","75.5471"
"Sullivan County","75498","-2.5530","71.2093"
"Cayuga County","75486","-5.5185","71.1980"
"Cattaraugus County","74899","-6.6307","70.6443"
"Madison County","70589","-3.8821","66.5792"
"Warren County","63402","-3.4463","59.8004"
"Livingston County","62316","-4.4819","58.7761"
"Washington County","61064","-3.6177","57.5952"
"Herkimer County","60531","-6.1098","57.0925"
"Otsego County","58859","-5.4611","55.5155"
"Columbia County","58813","-6.6993","55.4721"
"Genesee County","56866","-5.1095","53.6357"
"Fulton County","52883","-4.6380","49.8790"
"Franklin County","49508","-4.1379","46.6957"
"Montgomery County","48875","-2.8465","46.0986"
"Tioga County","47727","-6.4323","45.0159"
"Cortland County","47299","-4.0179","44.6122"
"Greene County","46802","-4.7559","44.1434"
"Chenango County","46731","-7.2779","44.0764"
"Allegany County","45609","-6.8653","43.0182"
"Delaware County","43353","-9.4700","40.8903"
"Orleans County","39746","-7.2460","37.4882"
"Wyoming County","39531","-6.1601","37.2854"
"Essex County","36079","-8.3359","34.0295"
"Seneca County","33690","-4.4689","31.7762"
"Schoharie County","30705","-6.0607","28.9608"
"Lewis County","25916","-4.2878","24.4438"
"Yates County","24837","-2.1241","23.4261"
"Schuyler County","17653","-3.7144","16.6502"
"Hamilton County","4384","-9.6269","4.1350"